Остановить перевод|Stop translation|Arrêter la traduction|Detener la traducción|停止翻译|أوقف الترجمة
Запрос на видео отправлен. Мы пришлем ссылку на указанный email.|Video request sent. We’ll send the link to your email.|Demande de vidéo envoyée. Nous vous enverrons le lien par e-mail.|Solicitud de vídeo enviada. Te enviaremos el enlace por correo.|视频申请已发送。我们将把链接发送到您的邮箱。|تم إرسال طلب الفيديو. سنرسل الرابط إلى بريدك الإلكتروني.
Предыдущие фотографии|Previous photos|Photos précédentes|Fotos anteriores|上一组照片|الصور السابقة
Следующие фотографии|Next photos|Photos suivantes|Fotos siguientes|下一组照片|الصور التالية
Приостановить автопрокрутку фотографий|Pause photo slideshow|Mettre le diaporama en pause|Pausar las fotos|暂停照片轮播|أوقف عرض الصور مؤقتا
Продолжить автопрокрутку фотографий|Resume photo slideshow|Reprendre le diaporama|Reanudar las fotos|继续照片轮播|استأنف عرض الصور
Объемный глобус. Вращайте перетаскиванием или стрелками. Выберите город: импульс подсветит его страну.|Interactive globe. Drag or use arrow keys to rotate. Select a city to highlight its country.|Globe interactif. Faites glisser ou utilisez les flèches pour le tourner. Choisissez une ville pour éclairer son pays.|Globo interactivo. Arrastra o usa las flechas para girarlo. Elige una ciudad para iluminar su país.|互动地球仪。拖动或使用方向键旋转，选择城市以点亮其所在国家。|كرة أرضية تفاعلية. اسحب أو استخدم الأسهم للتدوير. اختر مدينة لإضاءة بلدها.
Вращайте глобус · выберите город|Rotate the globe · choose a city|Tournez le globe · choisissez une ville|Gira el globo · elige una ciudad|转动地球仪 · 选择城市|أدر الكرة الأرضية · اختر مدينة
Приостановить путешествие по странам|Pause the world tour|Mettre le voyage en pause|Pausar el recorrido|暂停环球展示|أوقف الجولة مؤقتا
Продолжить путешествие по странам|Resume the world tour|Reprendre le voyage|Reanudar el recorrido|继续环球展示|استأنف الجولة
Не удалось загрузить карту. Обновите страницу.|Could not load the map. Refresh the page.|Impossible de charger la carte. Actualisez la page.|No se pudo cargar el mapa. Actualiza la página.|地图加载失败，请刷新页面。|تعذر تحميل الخريطة. حدث الصفحة.
Что хотите обсудить? Например, перевод лекций на английский и китайский|What would you like to discuss? For example, translating lectures into English and Chinese|De quoi souhaitez-vous parler ? Par exemple, traduire des cours en anglais et en chinois|¿Qué te gustaría tratar? Por ejemplo, traducir clases al inglés y al chino|您想讨论什么？例如，将讲座翻译成英语和中文|ما الذي تود مناقشته؟ مثلا، ترجمة المحاضرات إلى الإنجليزية والصينية
Язык перевода в телефоне|Phone translation language|Langue de traduction du téléphone|Idioma de traducción del teléfono|手机翻译语言|لغة الترجمة في الهاتف
Пример перевода выступления|Presentation translation sample|Exemple de traduction d’une présentation|Ejemplo de traducción de una presentación|演讲翻译示例|نموذج ترجمة عرض
Основная навигация|Main navigation|Navigation principale|Navegación principal|主导航|التنقل الرئيسي
Билингво, начало страницы|Bilingvo, back to top|Bilingvo, haut de page|Bilingvo, inicio de página|Bilingvo，返回顶部|Bilingvo، أعلى الصفحة
Закрыть видео|Close video|Fermer la vidéo|Cerrar vídeo|关闭视频|أغلق الفيديو
Подключение слушателя|Listener access|Accès auditeur|Acceso del oyente|听众接入|وصول المستمع
Интерактивная карта языков перевода|Interactive translation language map|Carte interactive des langues|Mapa interactivo de idiomas|翻译语言互动地图|خريطة تفاعلية للغات الترجمة
Мы используем cookie|We use cookies|Nous utilisons des cookies|Utilizamos cookies|我们使用Cookie|نستخدم ملفات تعريف الارتباط
Необходимые cookie обеспечивают работу сайта. Аналитику, включая Яндекс Метрику, включаем только с вашего согласия. Вы можете изменить выбор в любой момент.|Necessary cookies keep the site working. Analytics, including Yandex Metrica, only starts with your consent. You can change your choice at any time.|Les cookies nécessaires assurent le fonctionnement du site. L’analyse, dont Yandex Metrica, ne démarre qu’avec votre accord. Vous pouvez modifier votre choix à tout moment.|Las cookies necesarias permiten que el sitio funcione. La analítica, incluida Yandex Metrica, solo se activa con tu consentimiento. Puedes cambiar tu elección cuando quieras.|必要Cookie用于维持网站正常运行。包括Yandex Metrica在内的分析功能仅在您同意后启用。您可随时更改选择。|تضمن الملفات الضرورية عمل الموقع. لا نفعل التحليلات، بما فيها Yandex Metrica، إلا بموافقتك. يمكنك تغيير اختيارك في أي وقت.
Политика использования cookie|Cookie policy|Politique relative aux cookies|Política de cookies|Cookie政策|سياسة ملفات تعريف الارتباط
Принять все|Accept all|Tout accepter|Aceptar todas|全部接受|قبول الكل
Отклонить|Reject|Refuser|Rechazar|拒绝|رفض
Настроить|Customize|Personnaliser|Configurar|设置|تخصيص
Настройки cookie|Cookie settings|Paramètres des cookies|Configuración de cookies|Cookie设置|إعدادات ملفات تعريف الارتباط
Необходимые|Necessary|Nécessaires|Necesarias|必要项|الضرورية
Всегда включены. Сохраняют ваш выбор cookie и обеспечивают работу форм.|Always on. They remember your cookie choice and support forms.|Toujours actifs. Ils mémorisent votre choix et permettent le fonctionnement des formulaires.|Siempre activas. Guardan tu elección y permiten el funcionamiento de los formularios.|始终启用。用于保存Cookie选择并支持表单功能。|مفعلة دائما. تحفظ اختيارك وتدعم عمل النماذج.
Аналитика|Analytics|Analyse|Analítica|分析|التحليلات
Помогает понять, как посетители используют сайт. Включается только с вашего согласия.|Helps us understand how visitors use the site. Enabled only with your consent.|Aide à comprendre l’utilisation du site. Activée uniquement avec votre accord.|Ayuda a entender cómo se usa el sitio. Solo se activa con tu consentimiento.|帮助了解访客如何使用网站，仅在您同意后启用。|تساعد على فهم استخدام الزوار للموقع. لا تفعل إلا بموافقتك.
Маркетинг|Marketing|Marketing|Marketing|营销|التسويق
Маркетинговые трекеры сейчас не используются.|No marketing trackers are currently used.|Aucun traceur marketing n’est utilisé actuellement.|Actualmente no se usan rastreadores de marketing.|目前未使用营销追踪器。|لا نستخدم متتبعات تسويقية حاليا.
Сохранить выбор|Save choices|Enregistrer les choix|Guardar selección|保存选择|حفظ الاختيار
Назад|Back|Retour|Volver|返回|رجوع
Ваш выбор сохраняется в браузере на 180 дней. До согласия аналитические скрипты не загружаются. Отказ не мешает пользоваться сайтом или отправлять заявки. Изменить выбор можно по ссылке "Настройки cookie" внизу страницы.|Your choice is stored in your browser for 180 days. Analytics scripts are not loaded before consent. Rejecting them does not prevent site use or form submission. Change your choice via Cookie settings at the bottom of the page.|Votre choix est conservé dans le navigateur pendant 180 jours. Les scripts d’analyse ne sont pas chargés avant votre accord. Le refus n’empêche pas d’utiliser le site ni les formulaires. Modifiez votre choix dans Paramètres des cookies en bas de page.|Tu elección se guarda en el navegador durante 180 días. Los scripts de analítica no se cargan antes del consentimiento. Rechazarlos no impide usar el sitio ni enviar solicitudes. Puedes cambiar tu elección en Configuración de cookies al pie de página.|您的选择将在浏览器中保存180天。同意前不会加载分析脚本。拒绝不影响使用网站或提交申请。您可通过页底的Cookie设置更改选择。|يحفظ اختيارك في المتصفح لمدة 180 يوما. لا تحمل نصوص التحليلات قبل الموافقة. الرفض لا يمنع استخدام الموقع أو إرسال الطلبات. يمكنك تغيير اختيارك من إعدادات ملفات تعريف الارتباط أسفل الصفحة.
1 из 3|1 of 3|1 sur 3|1 de 3|第1组，共3组|1 من 3
2 из 3|2 of 3|2 sur 3|2 de 3|第2组，共3组|2 من 3
3 из 3|3 of 3|3 sur 3|3 de 3|第3组，共3组|3 من 3
QR-код для открытия демонстрации Билингво|QR code for the Bilingvo demo|QR code pour la démo Bilingvo|Código QR para la demo de Bilingvo|Bilingvo演示二维码|رمز QR لعرض Bilingvo
Билингво в лекционной аудитории|Bilingvo in a lecture hall|Bilingvo dans une salle de cours|Bilingvo en un aula|讲堂中的Bilingvo|Bilingvo في قاعة محاضرات
Видеоотзыв Жиляля Абдерразека|Video feedback from Jilal Abderrazek|Témoignage vidéo de Jilal Abderrazek|Testimonio en vídeo de Jilal Abderrazek|Jilal Abderrazek的视频反馈|شهادة جلال عبد الرزاق بالفيديو
Вход в комнату перевода|Entering a translation room|Accès à la salle de traduction|Acceso a una sala de traducción|进入翻译房间|الدخول إلى غرفة الترجمة
Карта мира|World map|Carte du monde|Mapa del mundo|世界地图|خريطة العالم
Карта языков. Перетащите для поворота, клавиши стрелок также вращают карту.|Language map. Drag or use arrow keys to rotate.|Carte des langues. Faites glisser ou utilisez les flèches pour la tourner.|Mapa de idiomas. Arrastra o usa las flechas para girarlo.|语言地图。拖动或使用方向键旋转。|خريطة اللغات. اسحب أو استخدم الأسهم للتدوير.
Материалы на личном телефоне|Materials on a personal phone|Supports sur un téléphone personnel|Materiales en un teléfono personal|个人手机上的资料|المواد على الهاتف الشخصي
Международная конференция|International conference|Conférence internationale|Conferencia internacional|国际会议|مؤتمر دولي
Обсуждение с участником конференции|Discussion with a conference participant|Discussion avec un participant|Conversación con un participante|与会议参与者交流|نقاش مع مشارك في المؤتمر
Перевод выступления во время занятия|Presentation translation during a class|Traduction d’une présentation en cours|Traducción de una presentación en clase|课堂演讲翻译|ترجمة العرض أثناء الدرس
Перевод материалов лекции на английский|Lecture materials translated into English|Supports de cours traduits en anglais|Materiales de clase traducidos al inglés|翻译为英语的讲座资料|مواد محاضرة مترجمة إلى الإنجليزية
Перевод на планшете|Translation on a tablet|Traduction sur tablette|Traducción en una tableta|平板电脑上的翻译|الترجمة على جهاز لوحي
Перевод учебных материалов|Study material translation|Traduction de supports pédagogiques|Traducción de materiales didácticos|学习资料翻译|ترجمة المواد الدراسية
Перевод учебных материалов на телефоне|Translated study materials on a phone|Supports pédagogiques traduits sur téléphone|Materiales didácticos traducidos en el teléfono|手机上翻译后的学习资料|المواد الدراسية المترجمة على الهاتف
Подключение на телефоне|Connecting on a phone|Connexion sur téléphone|Conexión desde el teléfono|手机接入|الاتصال من الهاتف
Подключение участника по QR-коду|Participant joining via QR code|Connexion d’un participant par QR code|Participante accediendo por código QR|参与者扫码加入|مشارك ينضم عبر رمز QR
Послушайте перевод на выбранном языке|Listen in the selected language|Écoutez dans la langue choisie|Escucha en el idioma elegido|收听所选语言的翻译|استمع باللغة المختارة
Послушать перевод в телефоне|Listen to translation on the phone|Écouter la traduction sur le téléphone|Escuchar la traducción en el teléfono|在手机上收听翻译|استمع إلى الترجمة في الهاتف
Посмотреть работу Билингво на площадке|See Bilingvo at the venue|Voir Bilingvo sur place|Ver Bilingvo en el recinto|查看Bilingvo现场使用情况|شاهد Bilingvo في مكان الفعالية
Смотреть видео Билингво на мероприятии|Watch Bilingvo at an event|Voir Bilingvo en événement|Ver Bilingvo en un evento|观看Bilingvo活动视频|شاهد فيديو Bilingvo في الفعالية
Смотреть видеоотзыв Жиляля Абдерразека|Watch Jilal Abderrazek’s video feedback|Voir le témoignage de Jilal Abderrazek|Ver el testimonio de Jilal Abderrazek|观看Jilal Abderrazek的视频反馈|شاهد شهادة جلال عبد الرزاق
Студент слушает перевод лекции|Student listening to a translated lecture|Étudiant écoutant un cours traduit|Estudiante escuchando una clase traducida|学生收听讲座翻译|طالب يستمع إلى محاضرة مترجمة
Текст перевода крупным планом|Close-up of translated text|Gros plan du texte traduit|Texto traducido en primer plano|翻译文字特写|لقطة مقربة للنص المترجم
Участники международного мероприятия|International event participants|Participants d’un événement international|Participantes de un evento internacional|国际活动参与者|مشاركون في فعالية دولية
Участники международной конференции|International conference participants|Participants d’une conférence internationale|Participantes de una conferencia internacional|国际会议参与者|مشاركون في مؤتمر دولي
Учебные материалы на языке студента|Study materials in the student’s language|Supports pédagogiques dans la langue de l’étudiant|Materiales en el idioma del estudiante|以学生语言呈现的学习资料|مواد دراسية بلغة الطالب
карусель|carousel|carrousel|carrusel|轮播|عارض صور
слайд|slide|diapositive|diapositiva|幻灯片|شريحة
