24|Email or phone|E-mail ou téléphone|Correo o teléfono|电子邮箱或电话|البريد الإلكتروني أو الهاتف
25|Book a demo|Réserver une démo|Solicitar una demo|预约演示|احجز عرضا
26|I agree to the|J’accepte la|Acepto la|我同意|أوافق على
27|privacy policy|politique de confidentialité|política de privacidad|隐私政策|سياسة الخصوصية
28|and the processing of my personal data.|et le traitement de mes données personnelles.|y el tratamiento de mis datos personales.|及个人数据处理。|ومعالجة بياناتي الشخصية.
29|translation languages|langues de traduction|idiomas de traducción|种翻译语言|لغة للترجمة
30|Simultaneous translation|Traduction simultanée|Traducción simultánea|同声翻译|ترجمة فورية
31|during the presentation|pendant la présentation|durante la presentación|演讲过程中实时进行|أثناء العرض
32|Developed in Russia|Développé en Russie|Desarrollado en Rusia|俄罗斯开发|تطوير روسي
33|listed in the Russian software registry|inscrit au registre des logiciels russes|incluido en el registro de software ruso|已列入俄罗斯软件名录|مسجل في سجل البرمجيات الروسية
34|For listeners|Pour les auditeurs|Para oyentes|听众指南|للمستمعين
35|How to access the translation|Comment accéder à la traduction|Cómo acceder a la traducción|如何接入翻译|كيفية الوصول إلى الترجمة
36|Open Bilingvo on your phone and listen in your own language. No app installation needed.|Ouvrez Bilingvo sur votre téléphone et écoutez dans votre langue. Aucune application à installer.|Abre Bilingvo en tu teléfono y escucha en tu idioma. No hace falta instalar una aplicación.|在手机上打开Bilingvo，即可用自己的语言聆听演讲。无需安装应用。|افتح Bilingvo على هاتفك واستمع إلى العرض بلغتك. لا حاجة إلى تثبيت تطبيق.
37|Scan the QR code|Scannez le QR code|Escanea el código QR|扫描二维码|امسح رمز QR
38|Choose a room|Choisissez une salle|Elige una sala|选择会场|اختر القاعة
39|Turn on translation|Activez la traduction|Activa la traducción|开启翻译|شغل الترجمة
40|Join a room|Rejoindre une salle|Unirse a una sala|加入房间|انضم إلى غرفة
41|Connect|Se connecter|Conectar|连接|اتصل
42|Join via QR code or link.|Accédez à la salle par QR code ou lien.|Accede mediante un código QR o un enlace.|通过二维码或链接进入。|انضم عبر رمز QR أو رابط.
43|All you need is a browser on a phone, tablet or laptop.|Un navigateur sur téléphone, tablette ou ordinateur suffit.|Basta con un navegador en el teléfono, la tableta o el portátil.|只需手机、平板电脑或笔记本电脑上的浏览器。|يكفي متصفح على الهاتف أو الجهاز اللوحي أو الحاسوب المحمول.
44|Open the room for your presentation.|Ouvrez la salle de la présentation souhaitée.|Abre la sala de la presentación que quieras seguir.|打开您要收听的演讲房间。|افتح غرفة العرض الذي تريد متابعته.
45|Main hall|Salle principale|Sala principal|主会场|القاعة الرئيسية
46|Sample presentation|Exemple de présentation|Ejemplo de presentación|演讲示例|نموذج عرض
47|Lecture hall|Salle de cours|Aula|讲堂|قاعة المحاضرات
48|Sample lecture|Exemple de cours|Ejemplo de clase|课堂示例|نموذج محاضرة
49|Choose a language and listen to a sample.|Choisissez une langue et écoutez un exemple.|Elige un idioma y escucha un ejemplo.|选择语言并收听示例。|اختر لغة واستمع إلى نموذج.
50|Listen to translation|Écouter la traduction|Escuchar la traducción|收听翻译|استمع إلى الترجمة
51|Interface demo|Démonstration de l’interface|Demostración de la interfaz|界面演示|عرض توضيحي للواجهة
52|Who it’s for|Pour qui ?|Para quién|适用人群|لمن هذا الحل؟
53|For lectures, business meetings and conferences|Pour les cours, réunions et conférences|Para clases, reuniones y conferencias|适用于讲座、商务会议和大会|للمحاضرات واجتماعات العمل والمؤتمرات
54|Invite participants from different countries. Bilingvo translates presentations and materials into all languages.|Invitez des participants de différents pays. Bilingvo traduit les présentations et les supports dans toutes les langues.|Invita a participantes de distintos países. Bilingvo traduce las presentaciones y los materiales a todos los idiomas.|邀请来自不同国家的参与者。Bilingvo将演讲和资料翻译成各种语言。|ادع مشاركين من دول مختلفة. يترجم Bilingvo العروض والمواد إلى جميع اللغات.
55|Education|Enseignement|Educación|教育|التعليم
56|Translation of lectures and study materials for international students.|Traduction des cours et des supports pédagogiques pour les étudiants étrangers.|Traducción de clases y materiales didácticos para estudiantes extranjeros.|为国际学生翻译讲座和学习资料。|ترجمة المحاضرات والمواد الدراسية للطلاب الأجانب.
57|Events|Événements|Eventos|活动|الفعاليات
58|Translation for participants at the venue and viewers watching online.|Traduction des interventions pour les participants sur place et en ligne.|Traducción para los asistentes presenciales y quienes siguen la transmisión.|为现场参与者和直播观众提供演讲翻译。|ترجمة العروض للحاضرين في القاعة ولمشاهدي البث.
59|Business|Entreprises|Empresas|企业|الأعمال
60|Meetings with colleagues abroad and international clients.|Réunions avec des collègues à l’étranger et des clients internationaux.|Reuniones con colegas de otros países y clientes internacionales.|与海外同事及国际客户举行会议。|اجتماعات مع زملاء في الخارج ولقاءات مع عملاء أجانب.
61|Public institutions|Institutions publiques|Instituciones públicas|公共机构|المؤسسات الحكومية
62|Events with international participants. The system can be hosted on your premises.|Événements avec des participants étrangers. Le système peut être hébergé chez le client.|Eventos con participantes extranjeros. El sistema puede alojarse en las instalaciones del cliente.|面向国际参与者的活动。系统可部署在客户本地。|فعاليات بمشاركة دولية. يمكن استضافة النظام لدى العميل.
63|Associations|Associations|Asociaciones|协会|الجمعيات
64|Congresses, forums and working meetings with foreign delegations.|Congrès, forums et réunions de travail avec des délégations étrangères.|Congresos, foros y reuniones de trabajo con delegaciones extranjeras.|有外国代表团参加的大会、论坛和工作会议。|مؤتمرات ومنتديات واجتماعات عمل بمشاركة وفود أجنبية.
65|Every setting|Tous les formats|Todos los formatos|各类场景|جميع الاستخدامات
66|From a small meeting|D’une petite réunion|Desde una pequeña reunión|从小型会议|من اجتماع صغير
67|to a large conference|à une grande conférence|hasta una gran conferencia|到大型大会|إلى مؤتمر كبير
68|On a phone, tablet or laptop|Sur téléphone, tablette ou ordinateur|En el teléfono, la tableta o el portátil|支持手机、平板电脑和笔记本电脑|على الهاتف والجهاز اللوحي والحاسوب المحمول
69|Listen to the translation or read it on screen|Écoutez la traduction ou lisez-la à l’écran|Escucha la traducción o léela en pantalla|收听翻译或阅读屏幕文字|استمع إلى الترجمة أو اقرأها على الشاشة
70|Open Bilingvo in your browser and choose your language. Listen to the sample below to hear the translation.|Ouvrez Bilingvo dans votre navigateur et choisissez votre langue. Écoutez l’exemple ci-dessous pour découvrir le rendu audio.|Abre Bilingvo en el navegador y elige tu idioma. Escucha el ejemplo para saber cómo suena la traducción.|在浏览器中打开Bilingvo并选择语言。收听下方示例，了解翻译的声音效果。|افتح Bilingvo في المتصفح واختر لغتك. استمع إلى النموذج أدناه لتتعرف على صوت الترجمة.
71|Bilingvo in the classroom|Bilingvo en cours|Bilingvo en el aula|课堂中的Bilingvo|Bilingvo في القاعات الدراسية
72|Lecture translation for international students|Traduction des cours pour les étudiants étrangers|Traducción de clases para estudiantes extranjeros|面向国际学生的讲座翻译|ترجمة المحاضرات للطلاب الأجانب
73|Bilingvo has been used at the Russian State Agrarian University – Moscow Timiryazev Agricultural Academy and the State University of Land Use Planning.|Bilingvo a été utilisé à l’Université agraire d’État de Russie – Académie agricole Timiriazev et à l’Université d’État de gestion des terres.|Bilingvo se ha utilizado en la Universidad Estatal Agraria de Rusia – Academia Agrícola Timiriázev y en la Universidad Estatal de Gestión de Tierras.|Bilingvo曾用于俄罗斯国立农业大学（季米里亚泽夫农业科学院）及国立土地管理大学。|استُخدم Bilingvo في الجامعة الروسية الحكومية الزراعية، أكاديمية تيميريازيف الزراعية بموسكو، وفي الجامعة الحكومية لإدارة الأراضي.
74|Students received translations of speech and study materials on their phones.|Les étudiants recevaient la traduction des cours et des supports sur leur téléphone.|Los estudiantes recibían la traducción de la voz y los materiales en sus teléfonos.|学生通过手机获取语音和学习资料的翻译。|تلقى الطلاب ترجمة الكلام والمواد الدراسية على هواتفهم.
75|Participant feedback|Avis des participants|Opiniones de los participantes|参与者反馈|آراء المشاركين
76|Bilingvo at events|Bilingvo en événement|Bilingvo en eventos|活动中的Bilingvo|Bilingvo في الفعاليات
77|See how participants use translation and hear about their experience.|Découvrez comment les participants utilisent la traduction et ce qu’ils en pensent.|Descubre cómo usan la traducción los participantes y qué cuentan de su experiencia.|了解参与者如何使用翻译，并听听他们的体验。|شاهد كيف يستخدم المشاركون الترجمة وما يقولونه عن تجربتهم.
78|Translation helped him follow presentations all day|La traduction l’a aidé à suivre les présentations toute la journée|La traducción le ayudó a seguir las presentaciones durante todo el día|翻译帮助他全天跟进演讲|ساعدته الترجمة على متابعة العروض طوال اليوم
79|Jilal Abderrazek shares his experience of Arabic translation and explains why listening and reading together is convenient.|Jilal Abderrazek partage son expérience de la traduction en arabe et explique l’intérêt d’écouter et de lire en même temps.|Jilal Abderrazek comparte su experiencia con la traducción al árabe y explica por qué resulta cómodo escuchar y leer a la vez.|Jilal Abderrazek分享了阿拉伯语翻译的使用体验，并解释了同时听读的便利之处。|يشارك جلال عبد الرزاق تجربته مع الترجمة إلى العربية ويوضح فائدة الاستماع والقراءة في الوقت نفسه.
80|Jilal Abderrazek · INRA, Morocco|Jilal Abderrazek · INRA, Maroc|Jilal Abderrazek · INRA, Marruecos|Jilal Abderrazek · INRA，摩洛哥|جلال عبد الرزاق · INRA، المغرب
81|See how Bilingvo translates your presentation|Découvrez la traduction de votre présentation avec Bilingvo|Descubre cómo Bilingvo traduce tu presentación|看看Bilingvo如何翻译您的演讲|شاهد كيف يترجم Bilingvo عرضك
82|We’ll demonstrate translation using your materials and languages. Leave your contact details to arrange a time.|Nous vous montrerons la traduction avec vos supports et vos langues. Laissez vos coordonnées pour convenir d’un horaire.|Te mostraremos la traducción con tus materiales y en los idiomas que necesitas. Deja tus datos para acordar una hora.|我们将使用您的资料及所需语言演示翻译。请留下联系方式，以便安排时间。|سنعرض الترجمة باستخدام موادك وباللغات التي تحتاجها. اترك بيانات التواصل لتحديد الموعد.
83|Your name|Votre nom|Tu nombre|您的姓名|اسمك
84|Your email|Votre e-mail|Tu correo electrónico|您的电子邮箱|بريدك الإلكتروني
85|Company, venue or university|Entreprise, lieu ou université|Empresa, recinto o universidad|公司、场地或大学|الشركة أو المكان أو الجامعة
86|Speech and materials translated in one place|La traduction de la parole et des supports au même endroit|Traducción de voz y materiales en un solo lugar|语音与资料翻译汇集一处|ترجمة الكلام والمواد في مكان واحد
87|What the translation includes|Ce que comprend la traduction|Qué incluye la traducción|翻译内容|ما الذي تشمله الترجمة
88|Listen to the presentation, read the translation and follow the materials in your language.|Écoutez la présentation, lisez la traduction et suivez les supports dans votre langue.|Escucha la presentación, lee la traducción y sigue los materiales en tu idioma.|用自己的语言收听演讲、阅读翻译并查看资料。|استمع إلى العرض واقرأ الترجمة وتابع المواد بلغتك.
89|During the presentation|Pendant la présentation|Durante la presentación|演讲过程中|أثناء العرض
90|Speech|Parole|Voz|语音|الكلام
91|Bilingvo translates the speaker’s words as the presentation unfolds.|Bilingvo traduit les paroles de l’intervenant au fil de la présentation.|Bilingvo traduce las palabras del ponente a medida que avanza la presentación.|Bilingvo在演讲过程中实时翻译发言内容。|يترجم Bilingvo كلام المتحدث أثناء العرض.
92|In the same language|Dans la même langue|En el mismo idioma|使用同一种语言|باللغة نفسها
93|Translated materials appear on the participant’s screen and change as the talk progresses.|Les supports traduits s’affichent sur l’écran du participant et évoluent au fil de la présentation.|Los materiales traducidos aparecen en la pantalla del participante y cambian durante la presentación.|翻译后的资料显示在参与者屏幕上，并随演讲进程切换。|تظهر المواد المترجمة على شاشة المشارك وتتغير مع تقدم العرض.
94|Text translation|Traduction écrite|Traducción de texto|文本翻译|الترجمة النصية
95|Subtitles|Sous-titres|Subtítulos|字幕|النص المترجم
96|Speech translation appears on screen, so you can follow the presentation without sound.|La traduction s’affiche à l’écran. Vous pouvez suivre la présentation sans le son.|La traducción aparece en pantalla para seguir la presentación sin sonido.|语音翻译显示在屏幕上，无声也能跟进演讲。|تظهر ترجمة الكلام على الشاشة، فتستطيع متابعة العرض دون صوت.
97|Voice|Voix|Voz|声音|الصوت
98|Audio translation|Traduction audio|Traducción en audio|语音播报|الترجمة الصوتية
99|Listen in your chosen language on your phone, tablet or laptop.|Écoutez dans la langue choisie sur votre téléphone, tablette ou ordinateur.|Escucha en el idioma elegido desde tu teléfono, tableta o portátil.|通过手机、平板电脑或笔记本电脑，以所选语言收听翻译。|استمع إلى الترجمة باللغة المختارة من هاتفك أو جهازك اللوحي أو حاسوبك المحمول.
100|For organizers|Pour les organisateurs|Para organizadores|组织者指南|للمنظمين
101|Why choose Bilingvo|Pourquoi choisir Bilingvo|Por qué elegir Bilingvo|为什么选择Bilingvo|لماذا Bilingvo
102|Run multilingual events with lower translation costs.|Organisez des événements multilingues en réduisant les coûts de traduction.|Organiza eventos multilingües con menores costes de traducción.|以更低的翻译成本举办多语言活动。|نظم فعاليات متعددة اللغات بتكلفة ترجمة أقل.
103|Lower translation costs|Moins de frais de traduction|Menores costes de traducción|降低翻译费用|تكلفة ترجمة أقل
104|No need to rent booths and receivers or hire interpreters for each language.|Inutile de louer des cabines et des récepteurs ou de faire appel à des interprètes pour chaque langue.|No hace falta alquilar cabinas y receptores ni contratar intérpretes para cada idioma.|无需租赁翻译间和接收器，也无需为每种语言聘请译员。|لا حاجة إلى استئجار كبائن وأجهزة استقبال أو الاستعانة بمترجمين لكل لغة.
105|Speech and materials together|La parole et les supports ensemble|Voz y materiales juntos|语音与资料同步呈现|الكلام والمواد معا
106|Participants listen to translation and view presentation materials in their language.|Les participants écoutent la traduction et consultent les supports dans leur langue.|Los participantes escuchan la traducción y ven los materiales en su idioma.|参与者用自己的语言收听翻译并查看演讲资料。|يستمع المشاركون إلى الترجمة ويطالعون مواد العرض بلغتهم.
107|Over 100 languages|Plus de 100 langues|Más de 100 idiomas|超过100种语言|أكثر من 100 لغة
108|Every participant chooses the language they feel comfortable listening in.|Chaque participant choisit la langue dans laquelle il préfère écouter.|Cada participante elige el idioma en el que prefiere escuchar.|每位参与者都可以选择自己习惯的语言收听。|يختار كل مشارك اللغة التي يرتاح للاستماع بها.
109|Training for your industry|Adaptation à votre secteur|Adaptación a tu sector|针对行业的训练|تدريب يناسب قطاعك
110|We train Bilingvo on industry terminology to improve the translation of specialist terms.|Nous entraînons Bilingvo sur la terminologie de votre secteur pour traduire les termes spécialisés avec plus de précision.|Entrenamos Bilingvo con terminología de tu sector para traducir con mayor precisión los términos especializados.|我们使用行业术语训练Bilingvo，以提高专业术语的翻译准确性。|ندرب Bilingvo على مصطلحات القطاع لترجمة المصطلحات المتخصصة بدقة أكبر.
111|The product by Agropromcifra JSC is listed in the Russian software registry.|Le produit d’Agropromcifra SA figure au registre des logiciels russes.|El producto de Agropromcifra S. A. está incluido en el registro de software ruso.|Agropromcifra股份公司的产品已列入俄罗斯软件名录。|منتج شركة Agropromcifra المساهمة مسجل في سجل البرمجيات الروسية.
112|On-premises deployment|Hébergement chez le client|Instalación local|本地部署|استضافة لدى العميل
113|Bilingvo can be installed on your organization’s servers if needed.|Bilingvo peut être installé sur les serveurs de votre organisation si nécessaire.|Bilingvo puede instalarse en los servidores de tu organización si es necesario.|如有需要，Bilingvo可安装在贵组织的服务器上。|يمكن تثبيت Bilingvo على خوادم مؤسستك عند الحاجة.
114|For procurement and IT|Pour les achats et l’IT|Para compras e IT|面向采购与IT部门|للمشتريات وتقنية المعلومات
115|Bilingvo can run on your servers|Bilingvo peut être installé sur vos serveurs|Bilingvo puede instalarse en tus servidores|Bilingvo可部署在您的服务器上|يمكن تثبيت Bilingvo على خوادمك
116|Before launch, we agree on system connectivity, access and data storage with your IT team.|Avant le lancement, nous définissons avec votre équipe IT la connexion du système, les accès et le stockage des données.|Antes del lanzamiento, acordamos con tu equipo de IT la conexión, el acceso y el almacenamiento de datos.|上线前，我们将与您的IT团队商定系统接入、访问权限和数据存储方案。|قبل الإطلاق، نتفق مع فريق تقنية المعلومات على ربط النظام والوصول إليه وتخزين البيانات.
117|Installation on your premises|Installation chez vous|Instalación en tus servidores|本地安装|التثبيت لديكم
118|If a cloud service is not suitable, we’ll host Bilingvo on your organization’s servers.|Si le cloud ne convient pas, nous installons Bilingvo sur les serveurs de votre organisation.|Si el servicio en la nube no encaja, instalamos Bilingvo en los servidores de tu organización.|如果云服务不适用，我们将把Bilingvo部署在贵组织的服务器上。|إذا لم تناسبكم الخدمة السحابية، نستضيف Bilingvo على خوادم مؤسستكم.
119|Preparing for launch|Préparation du lancement|Preparación del lanzamiento|上线准备|التحضير للإطلاق
120|Together with the venue, we work out how to connect audio and give participants access to translation.|Avec le lieu d’accueil, nous définissons le raccordement audio et l’accès des participants à la traduction.|Junto con el recinto, definimos cómo conectar el sonido y dar acceso a la traducción a los participantes.|我们与场地方共同确定音频接入方式，并为参与者提供翻译访问入口。|نحدد مع المكان كيفية توصيل الصوت وإتاحة الترجمة للمشاركين.
121|Developer support|Support de l’éditeur|Soporte del desarrollador|开发商支持|دعم المطور
122|Agropromcifra JSC develops Bilingvo and supports the system after installation.|Agropromcifra SA développe Bilingvo et assure le suivi après l’installation.|Agropromcifra S. A. desarrolla Bilingvo y ofrece soporte después de la instalación.|Agropromcifra股份公司开发Bilingvo，并在安装后提供系统支持。|تطور شركة Agropromcifra المساهمة Bilingvo وتدعم النظام بعد التثبيت.
123|Try Bilingvo with your materials|Essayez Bilingvo avec vos supports|Prueba Bilingvo con tus materiales|用您的资料试用Bilingvo|جرب Bilingvo باستخدام موادك
124|We’ll show translation in the languages you need and discuss connecting it at your venue.|Nous vous montrerons la traduction dans les langues souhaitées et discuterons de la connexion sur votre site.|Te mostraremos la traducción en los idiomas que necesitas y hablaremos de la conexión en tu recinto.|我们将演示您所需语言的翻译，并讨论场地接入方案。|سنعرض الترجمة باللغات المطلوبة ونناقش توصيل النظام في مكان الفعالية.
125|Questions and answers|Questions et réponses|Preguntas y respuestas|问答|أسئلة وأجوبة
126|What to know before getting started|À savoir avant de commencer|Qué saber antes de empezar|接入前需要了解的事项|ما تحتاج إلى معرفته قبل البدء
127|Pricing, formats, languages, accuracy, audio and data.|Tarifs, formats, langues, précision, son et données.|Precio, formatos, idiomas, precisión, sonido y datos.|价格、形式、语言、准确性、音频及数据。|السعر والصيغ واللغات والدقة والصوت والبيانات.
128|How much does Bilingvo cost?|Combien coûte Bilingvo ?|¿Cuánto cuesta Bilingvo?|Bilingvo如何收费？|كم تبلغ تكلفة Bilingvo؟
129|Pricing depends on the languages, event duration, venue requirements and cloud or on-premises deployment. We’ll demonstrate Bilingvo using your materials and prepare a quote for your event.|Le tarif dépend des langues, de la durée de l’événement, des conditions du lieu et de l’hébergement dans le cloud ou sur vos serveurs. Nous vous montrerons Bilingvo avec vos supports et préparerons un devis.|El precio depende de los idiomas, la duración del evento, las condiciones del recinto y la instalación en la nube o en tus servidores. Te mostraremos Bilingvo con tus materiales y prepararemos un presupuesto para tu evento.|价格取决于翻译语言、活动时长、场地条件，以及选择云端还是本地部署。我们将使用您的资料演示Bilingvo，并为您的活动制定报价。|تعتمد التكلفة على لغات الترجمة ومدة الفعالية وظروف المكان والاستضافة السحابية أو على خوادمكم. سنعرض Bilingvo باستخدام موادكم ونعد عرض سعر لفعاليتكم.
130|What events is Bilingvo suitable for?|Pour quels événements utiliser Bilingvo ?|¿Para qué eventos sirve Bilingvo?|Bilingvo适合哪些活动？|ما الفعاليات المناسبة لاستخدام Bilingvo؟
131|Meetings, lectures, conferences, broadcasts and hybrid events.|Réunions, cours, conférences, diffusions en direct et événements hybrides.|Reuniones, clases, conferencias, transmisiones y eventos híbridos.|适用于会议、讲座、大会、直播及线上线下混合活动。|للاجتماعات والمحاضرات والمؤتمرات والبث والفعاليات الحضورية مع مشاركة عن بعد.
132|How do listeners access the translation?|Comment les auditeurs accèdent-ils à la traduction ?|¿Cómo accede el oyente a la traducción?|听众如何接入翻译？|كيف يصل المستمع إلى الترجمة؟
133|Scan a QR code or enter a room code in your browser. No app installation needed.|Scannez un QR code ou saisissez un code de salle dans le navigateur. Aucune application à installer.|Escanea un código QR o introduce el código de sala en el navegador. No hace falta instalar una aplicación.|扫描二维码或在浏览器中输入房间代码，无需安装应用。|يمسح رمز QR أو يدخل رمز الغرفة في المتصفح. لا حاجة إلى تثبيت تطبيق.
134|Which languages does Bilingvo translate?|Quelles langues Bilingvo traduit-il ?|¿A qué idiomas traduce Bilingvo?|Bilingvo支持哪些翻译语言？|ما اللغات التي يترجم إليها Bilingvo؟
135|Over 100 languages. We check your language pairs and terminology during the demo.|Plus de 100 langues. Nous vérifions vos paires de langues et votre terminologie lors de la démo.|Más de 100 idiomas. Comprobamos los pares de idiomas y la terminología de tu programa durante la demo.|支持超过100种语言。我们会在演示中核验您需要的语言组合及专业术语。|أكثر من 100 لغة. نتحقق من أزواج اللغات ومصطلحات برنامجكم خلال العرض التوضيحي.
136|How can I check translation accuracy?|Comment vérifier la précision de la traduction ?|¿Cómo comprobar la precisión de la traducción?|如何核验翻译准确性？|كيف أتحقق من دقة الترجمة؟
137|Before launch, we check the translation and terminology using an excerpt from your presentation.|Avant le lancement, nous vérifions la traduction et les termes sur un extrait de votre présentation.|Antes del lanzamiento, comprobamos la traducción y los términos con un fragmento de tu presentación.|上线前，我们会使用您演讲的片段核验翻译和术语。|قبل الإطلاق، نتحقق من الترجمة والمصطلحات باستخدام مقطع من عرضكم.
138|What do I need to use Bilingvo?|Que faut-il pour utiliser Bilingvo ?|¿Qué se necesita para usar Bilingvo?|使用Bilingvo需要什么？|ما المطلوب لاستخدام Bilingvo؟
139|Listeners open translation in a browser on their own device. No booths or app installation needed.|Les auditeurs ouvrent la traduction dans le navigateur de leur appareil. Aucune cabine ni application à installer.|El oyente abre la traducción en el navegador de su dispositivo. No se necesitan cabinas ni instalar aplicaciones.|听众只需在自己的设备浏览器中打开翻译，无需翻译间或安装应用。|يفتح المستمع الترجمة في متصفح جهازه. لا حاجة إلى كبائن أو تثبيت تطبيق.
140|Can Bilingvo be installed on our servers?|Peut-on installer Bilingvo sur nos serveurs ?|¿Se puede instalar Bilingvo en nuestros servidores?|可以在我们的服务器上安装Bilingvo吗？|هل يمكن تثبيت Bilingvo على خوادمنا؟
141|We agree with IT on where speech, materials and translations are processed before launch. On-premises deployment is available.|Nous convenons avec l’IT du lieu de traitement de la parole, des supports et des traductions avant le lancement. L’hébergement chez le client est possible.|Antes del lanzamiento, acordamos con IT dónde se procesan la voz, los materiales y la traducción. Es posible la instalación local.|上线前，我们会与IT部门商定语音、资料及翻译的处理位置。支持本地部署。|نتفق مع فريق تقنية المعلومات على مكان معالجة الكلام والمواد والترجمة قبل الإطلاق. الاستضافة لدى العميل متاحة.
142|How can Bilingvo be used in classes where students are learning Russian?|Comment utiliser Bilingvo en cours si les étudiants apprennent le russe ?|¿Cómo usar Bilingvo en clase si los estudiantes aprenden ruso?|如果学生正在学习俄语，如何在课堂上使用Bilingvo？|كيف نستخدم Bilingvo في الدروس إذا كان الطلاب يتعلمون الروسية؟
143|We can discuss this during a demonstration for your education program.|Nous pouvons en discuter lors d’une démonstration adaptée à votre programme d’enseignement.|Podemos hablar de ello durante una demostración para tu programa educativo.|可以在针对您教学项目的演示中讨论这一问题。|يمكن مناقشة ذلك في عرض توضيحي مخصص لبرنامجكم التعليمي.
144|What happens after I submit a request?|Que se passe-t-il après ma demande ?|¿Qué ocurre después de enviar la solicitud?|提交申请后会怎样？|ماذا يحدث بعد إرسال الطلب؟
145|We’ll confirm the languages, materials, demo date, venue and audio setup, then demonstrate translation using an excerpt from your presentation.|Nous préciserons les langues, les supports, la date, le lieu et le son, puis ferons une démonstration sur un extrait de votre présentation.|Concretaremos los idiomas, materiales, fecha, recinto y sonido. Después haremos una demo con un fragmento de tu presentación.|我们会确认语言、资料、演示日期、场地和音频条件，并使用您演讲的片段进行演示。|سنحدد اللغات والمواد وموعد العرض والمكان والصوت، ثم نقدم عرضا توضيحيا باستخدام مقطع من عرضكم.
146|I have another question|J’ai une autre question|Tengo otra pregunta|我还有其他问题|لدي سؤال آخر
147|Email|Écrivez à|Escribe a|请发邮件至|راسلنا على
148|or call|ou appelez le|o llama al|或致电|أو اتصل على
149|Bilingvo demo|Démonstration Bilingvo|Demostración de Bilingvo|Bilingvo演示|عرض Bilingvo
150|Evaluate translation with your materials|Évaluez la traduction avec vos supports|Evalúa la traducción con tus materiales|用您的资料评估翻译效果|قيم الترجمة باستخدام موادك
